WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;;
JAKARTA SELATAN;PANCORAN;PENGADEGAN;008;001;0,0383134;40 cm;2;YES;Curah Hujan Tinggi dan Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;010;007;0,00544204;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;014;008;0,00193124;50 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;004;003;0,00792003;180 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;006;005;0,00401273;80 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;004;008;0,02393557;110 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;011;005;0,0129285;180 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;009;005;0,01356839;180 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;010;002;0,02096866;80 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;015;003;0,00523928;120 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;002;003;0,00782334;160 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;005;0,00279842;200 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;016;007;0,00443113;75 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;011;005;0,00227763;200 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;005;006;0,00163972;50 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;015;007;0,00098113;150 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;009;007;0,00101831;80 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;008;007;0,00158001;60 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;005;007;0,00134601;150 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;002;007;0,00248924;120 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
